タイムスタンプ	お名前	X ID	希望キャスト（カンマ区切り）	確認事項
2026-03-20 10:00	春日 茜	@akane_k	Noa,Rin,Mio	同意する
2026-03-20 10:01	湊 颯太	@sota_m	Rin,Noa,Sora	同意する
2026-03-20 10:02	月城 るな	@luna_t	Mio,Sora,Haru	同意する
2026-03-20 10:03	鳴瀬 伊織	@iori_n	Sora,Mio,Rin	同意する
2026-03-20 10:04	朝霧 こはく	@kohaku_a	Noa,Mio,Rin	同意する
2026-03-20 10:05	白瀬 悠	@yuu_s	Haru,Noa,Mio	同意する
2026-03-20 10:06	緋野 なずな	@nazuna_h	Rin,Sora,Noa	同意する
2026-03-20 10:07	星川 リト	@rito_h	Mio,Noa,Sora	同意する
2026-03-20 10:08	葵 知花	@chihana_a	Sora,Haru,Rin	同意する
2026-03-20 10:09	天羽 タマ	@tama_ae	Noa,Sora,Mio	同意する
2026-03-20 10:10	辻原 れん	@ren_t	Rin,Mio,Haru	同意する
2026-03-20 10:11	宮瀬 エル	@el_m	Yuki,Rin,Noa	同意する
2026-03-20 10:12	夜凪 ゆず	@yuzu_y	Mio,Haru,Sora	同意する
2026-03-20 10:13	浅葱 千秋	@chiaki_as	Sora,Noa,Mio	同意する
2026-03-20 10:14	桃瀬 まほ	@maho_mo	Noa,Mio	同意する
2026-03-20 10:15	神代 リオ	rio_k	Rin	同意する
2026-03-20 10:16	音羽 空美	@sorami_o		同意する
2026-03-20 10:17	霧崎 縁	@en_k	Rin,Noa,Mio	同意する
2026-03-20 10:18	八雲 凪	@nagi_y	Sora,Mio,Rin	同意する
2026-03-20 10:19	烏丸 れい	@rei_kar	Haru,Sora,Noa	同意する
